Fecha;Territorio;Medida;Valor;
17/09/2020;Andalucía;Confirmados PDIA 14 días;11337;
17/09/2020;Andalucía;Confirmados PDIA 7 días;5257;
17/09/2020;Andalucía;Total confirmados ;50904;
17/09/2020;Andalucía;Hospitalizados;8579;
17/09/2020;Andalucía;Total UCI;953;
17/09/2020;Andalucía;Fallecidos;1672;
17/09/2020;Andalucía;Curados;22045;
17/09/2020;Almería;Confirmados PDIA;6784;
17/09/2020;Almería;Confirmados PDIA 14 días;1510;
17/09/2020;Almería;Confirmados PDIA 7 días;614;
17/09/2020;Almería;Total confirmados ;7063;
17/09/2020;Almería;Hospitalizados;661;
17/09/2020;Almería;Total UCI;92;
17/09/2020;Almería;Fallecidos;104;
17/09/2020;Almería;Curados;3200;
17/09/2020;Cádiz;Confirmados PDIA;5098;
17/09/2020;Cádiz;Confirmados PDIA 14 días;1472;
17/09/2020;Cádiz;Confirmados PDIA 7 días;592;
17/09/2020;Cádiz;Total confirmados ;5429;
17/09/2020;Cádiz;Hospitalizados;840;
17/09/2020;Cádiz;Total UCI;101;
17/09/2020;Cádiz;Fallecidos;210;
17/09/2020;Cádiz;Curados;2158;
17/09/2020;Córdoba;Confirmados PDIA;4480;
17/09/2020;Córdoba;Confirmados PDIA 14 días;1071;
17/09/2020;Córdoba;Confirmados PDIA 7 días;594;
17/09/2020;Córdoba;Total confirmados ;4889;
17/09/2020;Córdoba;Hospitalizados;771;
17/09/2020;Córdoba;Total UCI;95;
17/09/2020;Córdoba;Fallecidos;133;
17/09/2020;Córdoba;Curados;2220;
17/09/2020;Granada;Confirmados PDIA;5717;
17/09/2020;Granada;Confirmados PDIA 14 días;1033;
17/09/2020;Granada;Confirmados PDIA 7 días;410;
17/09/2020;Granada;Total confirmados ;6524;
17/09/2020;Granada;Hospitalizados;1440;
17/09/2020;Granada;Total UCI;153;
17/09/2020;Granada;Fallecidos;308;
17/09/2020;Granada;Curados;3392;
17/09/2020;Huelva;Confirmados PDIA;1040;
17/09/2020;Huelva;Confirmados PDIA 14 días;307;
17/09/2020;Huelva;Confirmados PDIA 7 días;174;
17/09/2020;Huelva;Total confirmados ;1167;
17/09/2020;Huelva;Hospitalizados;244;
17/09/2020;Huelva;Total UCI;34;
17/09/2020;Huelva;Fallecidos;53;
17/09/2020;Huelva;Curados;541;
17/09/2020;Jaén;Confirmados PDIA;3303;
17/09/2020;Jaén;Confirmados PDIA 14 días;824;
17/09/2020;Jaén;Confirmados PDIA 7 días;412;
17/09/2020;Jaén;Total confirmados ;3800;
17/09/2020;Jaén;Hospitalizados;891;
17/09/2020;Jaén;Total UCI;102;
17/09/2020;Jaén;Fallecidos;199;
17/09/2020;Jaén;Curados;2308;
17/09/2020;Málaga;Confirmados PDIA;12125;
17/09/2020;Málaga;Confirmados PDIA 14 días;2863;
17/09/2020;Málaga;Confirmados PDIA 7 días;1343;
17/09/2020;Málaga;Total confirmados ;13923;
17/09/2020;Málaga;Hospitalizados;2105;
17/09/2020;Málaga;Total UCI;198;
17/09/2020;Málaga;Fallecidos;338;
17/09/2020;Málaga;Curados;4851;
17/09/2020;Sevilla;Confirmados PDIA;7435;
17/09/2020;Sevilla;Confirmados PDIA 14 días;2257;
17/09/2020;Sevilla;Confirmados PDIA 7 días;1118;
17/09/2020;Sevilla;Total confirmados ;8109;
17/09/2020;Sevilla;Hospitalizados;1627;
17/09/2020;Sevilla;Total UCI;178;
17/09/2020;Sevilla;Fallecidos;327;
17/09/2020;Sevilla;Curados;3375;
16/09/2020;Andalucía;Confirmados PDIA;44593;
16/09/2020;Andalucía;Confirmados PDIA 14 días;11004;
16/09/2020;Andalucía;Confirmados PDIA 7 días;5086;
16/09/2020;Andalucía;Total confirmados ;49512;
16/09/2020;Andalucía;Hospitalizados;8438;
16/09/2020;Andalucía;Total UCI;947;
16/09/2020;Andalucía;Fallecidos;1647;
16/09/2020;Andalucía;Curados;21619;
16/09/2020;Almería;Confirmados PDIA;6632;
16/09/2020;Almería;Confirmados PDIA 14 días;1527;
16/09/2020;Almería;Confirmados PDIA 7 días;613;
16/09/2020;Almería;Total confirmados ;6911;
16/09/2020;Almería;Hospitalizados;653;
16/09/2020;Almería;Total UCI;91;
16/09/2020;Almería;Fallecidos;100;
16/09/2020;Almería;Curados;3140;
16/09/2020;Cádiz;Confirmados PDIA;4919;
16/09/2020;Cádiz;Confirmados PDIA 14 días;1440;
16/09/2020;Cádiz;Confirmados PDIA 7 días;618;
16/09/2020;Cádiz;Total confirmados ;5248;
16/09/2020;Cádiz;Hospitalizados;810;
16/09/2020;Cádiz;Total UCI;101;
16/09/2020;Cádiz;Fallecidos;199;
16/09/2020;Cádiz;Curados;2156;
16/09/2020;Córdoba;Confirmados PDIA;4354;
16/09/2020;Córdoba;Confirmados PDIA 14 días;1051;
16/09/2020;Córdoba;Confirmados PDIA 7 días;561;
16/09/2020;Córdoba;Total confirmados ;4763;
16/09/2020;Córdoba;Hospitalizados;749;
16/09/2020;Córdoba;Total UCI;95;
16/09/2020;Córdoba;Fallecidos;132;
16/09/2020;Córdoba;Curados;2001;
16/09/2020;Granada;Confirmados PDIA;5612;
16/09/2020;Granada;Confirmados PDIA 14 días;1047;
16/09/2020;Granada;Confirmados PDIA 7 días;383;
16/09/2020;Granada;Total confirmados ;6419;
16/09/2020;Granada;Hospitalizados;1425;
16/09/2020;Granada;Total UCI;152;
16/09/2020;Granada;Fallecidos;306;
16/09/2020;Granada;Curados;3391;
16/09/2020;Huelva;Confirmados PDIA;1000;
16/09/2020;Huelva;Confirmados PDIA 14 días;282;
16/09/2020;Huelva;Confirmados PDIA 7 días;151;
16/09/2020;Huelva;Total confirmados ;1127;
16/09/2020;Huelva;Hospitalizados;243;
16/09/2020;Huelva;Total UCI;34;
16/09/2020;Huelva;Fallecidos;53;
16/09/2020;Huelva;Curados;541;
16/09/2020;Jaén;Confirmados PDIA;3194;
16/09/2020;Jaén;Confirmados PDIA 14 días;796;
16/09/2020;Jaén;Confirmados PDIA 7 días;422;
16/09/2020;Jaén;Total confirmados ;3691;
16/09/2020;Jaén;Hospitalizados;880;
16/09/2020;Jaén;Total UCI;100;
16/09/2020;Jaén;Fallecidos;199;
16/09/2020;Jaén;Curados;2190;
16/09/2020;Málaga;Confirmados PDIA;11775;
16/09/2020;Málaga;Confirmados PDIA 14 días;2776;
16/09/2020;Málaga;Confirmados PDIA 7 días;1311;
16/09/2020;Málaga;Total confirmados ;13572;
16/09/2020;Málaga;Hospitalizados;2080;
16/09/2020;Málaga;Total UCI;198;
16/09/2020;Málaga;Fallecidos;332;
16/09/2020;Málaga;Curados;4829;
16/09/2020;Sevilla;Confirmados PDIA;7107;
16/09/2020;Sevilla;Confirmados PDIA 14 días;2085;
16/09/2020;Sevilla;Confirmados PDIA 7 días;1027;
16/09/2020;Sevilla;Total confirmados ;7781;
16/09/2020;Sevilla;Hospitalizados;1598;
16/09/2020;Sevilla;Total UCI;176;
16/09/2020;Sevilla;Fallecidos;326;
16/09/2020;Sevilla;Curados;3371;
15/09/2020;Andalucía;Confirmados PDIA;43678;
15/09/2020;Andalucía;Confirmados PDIA 14 días;10981;
15/09/2020;Andalucía;Confirmados PDIA 7 días;5026;
15/09/2020;Andalucía;Total confirmados ;48592;
15/09/2020;Andalucía;Hospitalizados;8320;
15/09/2020;Andalucía;Total UCI;942;
15/09/2020;Andalucía;Fallecidos;1631;
15/09/2020;Andalucía;Curados;21375;
15/09/2020;Almería;Confirmados PDIA;6583;
15/09/2020;Almería;Confirmados PDIA 14 días;1589;
15/09/2020;Almería;Confirmados PDIA 7 días;675;
15/09/2020;Almería;Total confirmados ;6862;
15/09/2020;Almería;Hospitalizados;648;
15/09/2020;Almería;Total UCI;91;
15/09/2020;Almería;Fallecidos;99;
15/09/2020;Almería;Curados;3011;
15/09/2020;Cádiz;Confirmados PDIA;4774;
15/09/2020;Cádiz;Confirmados PDIA 14 días;1421;
15/09/2020;Cádiz;Confirmados PDIA 7 días;611;
15/09/2020;Cádiz;Total confirmados ;5103;
15/09/2020;Cádiz;Hospitalizados;790;
15/09/2020;Cádiz;Total UCI;100;
15/09/2020;Cádiz;Fallecidos;193;
15/09/2020;Cádiz;Curados;2115;
15/09/2020;Córdoba;Confirmados PDIA;4245;
15/09/2020;Córdoba;Confirmados PDIA 14 días;1028;
15/09/2020;Córdoba;Confirmados PDIA 7 días;499;
15/09/2020;Córdoba;Total confirmados ;4652;
15/09/2020;Córdoba;Hospitalizados;735;
15/09/2020;Córdoba;Total UCI;95;
15/09/2020;Córdoba;Fallecidos;130;
15/09/2020;Córdoba;Curados;2000;
15/09/2020;Granada;Confirmados PDIA;5588;
15/09/2020;Granada;Confirmados PDIA 14 días;1154;
15/09/2020;Granada;Confirmados PDIA 7 días;487;
15/09/2020;Granada;Total confirmados ;6395;
15/09/2020;Granada;Hospitalizados;1419;
15/09/2020;Granada;Total UCI;152;
15/09/2020;Granada;Fallecidos;306;
15/09/2020;Granada;Curados;3391;
15/09/2020;Huelva;Confirmados PDIA;979;
15/09/2020;Huelva;Confirmados PDIA 14 días;276;
15/09/2020;Huelva;Confirmados PDIA 7 días;161;
15/09/2020;Huelva;Total confirmados ;1106;
15/09/2020;Huelva;Hospitalizados;243;
15/09/2020;Huelva;Total UCI;34;
15/09/2020;Huelva;Fallecidos;53;
15/09/2020;Huelva;Curados;540;
15/09/2020;Jaén;Confirmados PDIA;3157;
15/09/2020;Jaén;Confirmados PDIA 14 días;822;
15/09/2020;Jaén;Confirmados PDIA 7 días;460;
15/09/2020;Jaén;Total confirmados ;3654;
15/09/2020;Jaén;Hospitalizados;871;
15/09/2020;Jaén;Total UCI;100;
15/09/2020;Jaén;Fallecidos;198;
15/09/2020;Jaén;Curados;2148;
15/09/2020;Málaga;Confirmados PDIA;11469;
15/09/2020;Málaga;Confirmados PDIA 14 días;2719;
15/09/2020;Málaga;Confirmados PDIA 7 días;1155;
15/09/2020;Málaga;Total confirmados ;13263;
15/09/2020;Málaga;Hospitalizados;2049;
15/09/2020;Málaga;Total UCI;195;
15/09/2020;Málaga;Fallecidos;329;
15/09/2020;Málaga;Curados;4799;
15/09/2020;Sevilla;Confirmados PDIA;6883;
15/09/2020;Sevilla;Confirmados PDIA 14 días;1972;
15/09/2020;Sevilla;Confirmados PDIA 7 días;978;
15/09/2020;Sevilla;Total confirmados ;7557;
15/09/2020;Sevilla;Hospitalizados;1565;
15/09/2020;Sevilla;Total UCI;175;
15/09/2020;Sevilla;Fallecidos;323;
15/09/2020;Sevilla;Curados;3371;
14/09/2020;Andalucía;Confirmados PDIA;42640;
14/09/2020;Andalucía;Confirmados PDIA 14 días;10893;
14/09/2020;Andalucía;Confirmados PDIA 7 días;4739;
14/09/2020;Andalucía;Total confirmados ;47556;
14/09/2020;Andalucía;Hospitalizados;8196;
14/09/2020;Andalucía;Total UCI;928;
14/09/2020;Andalucía;Fallecidos;1609;
14/09/2020;Andalucía;Curados;20996;
14/09/2020;Almería;Confirmados PDIA;6458;
14/09/2020;Almería;Confirmados PDIA 14 días;1602;
14/09/2020;Almería;Confirmados PDIA 7 días;656;
14/09/2020;Almería;Total confirmados ;6737;
14/09/2020;Almería;Hospitalizados;632;
14/09/2020;Almería;Total UCI;90;
14/09/2020;Almería;Fallecidos;98;
14/09/2020;Almería;Curados;2920;
14/09/2020;Cádiz;Confirmados PDIA;4627;
14/09/2020;Cádiz;Confirmados PDIA 14 días;1359;
14/09/2020;Cádiz;Confirmados PDIA 7 días;517;
14/09/2020;Cádiz;Total confirmados ;4956;
14/09/2020;Cádiz;Hospitalizados;776;
14/09/2020;Cádiz;Total UCI;98;
14/09/2020;Cádiz;Fallecidos;192;
14/09/2020;Cádiz;Curados;2064;
14/09/2020;Córdoba;Confirmados PDIA;4158;
14/09/2020;Córdoba;Confirmados PDIA 14 días;1093;
14/09/2020;Córdoba;Confirmados PDIA 7 días;488;
14/09/2020;Córdoba;Total confirmados ;4565;
14/09/2020;Córdoba;Hospitalizados;733;
14/09/2020;Córdoba;Total UCI;93;
14/09/2020;Córdoba;Fallecidos;128;
14/09/2020;Córdoba;Curados;1983;
14/09/2020;Granada;Confirmados PDIA;5517;
14/09/2020;Granada;Confirmados PDIA 14 días;1157;
14/09/2020;Granada;Confirmados PDIA 7 días;529;
14/09/2020;Granada;Total confirmados ;6324;
14/09/2020;Granada;Hospitalizados;1416;
14/09/2020;Granada;Total UCI;147;
14/09/2020;Granada;Fallecidos;306;
14/09/2020;Granada;Curados;3318;
14/09/2020;Huelva;Confirmados PDIA;961;
14/09/2020;Huelva;Confirmados PDIA 14 días;263;
14/09/2020;Huelva;Confirmados PDIA 7 días;157;
14/09/2020;Huelva;Total confirmados ;1088;
14/09/2020;Huelva;Hospitalizados;242;
14/09/2020;Huelva;Total UCI;34;
14/09/2020;Huelva;Fallecidos;53;
14/09/2020;Huelva;Curados;540;
14/09/2020;Jaén;Confirmados PDIA;3067;
14/09/2020;Jaén;Confirmados PDIA 14 días;765;
14/09/2020;Jaén;Confirmados PDIA 7 días;392;
14/09/2020;Jaén;Total confirmados ;3564;
14/09/2020;Jaén;Hospitalizados;868;
14/09/2020;Jaén;Total UCI;100;
14/09/2020;Jaén;Fallecidos;198;
14/09/2020;Jaén;Curados;2148;
14/09/2020;Málaga;Confirmados PDIA;11171;
14/09/2020;Málaga;Confirmados PDIA 14 días;2746;
14/09/2020;Málaga;Confirmados PDIA 7 días;1111;
14/09/2020;Málaga;Total confirmados ;12967;
14/09/2020;Málaga;Hospitalizados;2020;
14/09/2020;Málaga;Total UCI;192;
14/09/2020;Málaga;Fallecidos;320;
14/09/2020;Málaga;Curados;4706;
14/09/2020;Sevilla;Confirmados PDIA;6681;
14/09/2020;Sevilla;Confirmados PDIA 14 días;1908;
14/09/2020;Sevilla;Confirmados PDIA 7 días;889;
14/09/2020;Sevilla;Total confirmados ;7355;
14/09/2020;Sevilla;Hospitalizados;1509;
14/09/2020;Sevilla;Total UCI;174;
14/09/2020;Sevilla;Fallecidos;314;
14/09/2020;Sevilla;Curados;3317;
13/09/2020;Andalucía;Confirmados PDIA;41995;
13/09/2020;Andalucía;Confirmados PDIA 14 días;11018;
13/09/2020;Andalucía;Confirmados PDIA 7 días;4777;
13/09/2020;Andalucía;Total confirmados ;46911;
13/09/2020;Andalucía;Hospitalizados;8158;
13/09/2020;Andalucía;Total UCI;923;
13/09/2020;Andalucía;Fallecidos;1603;
13/09/2020;Andalucía;Curados;20626;
13/09/2020;Almería;Confirmados PDIA;6405;
13/09/2020;Almería;Confirmados PDIA 14 días;1663;
13/09/2020;Almería;Confirmados PDIA 7 días;727;
13/09/2020;Almería;Total confirmados ;6684;
13/09/2020;Almería;Hospitalizados;628;
13/09/2020;Almería;Total UCI;87;
13/09/2020;Almería;Fallecidos;97;
13/09/2020;Almería;Curados;2873;
13/09/2020;Cádiz;Confirmados PDIA;4565;
13/09/2020;Cádiz;Confirmados PDIA 14 días;1365;
13/09/2020;Cádiz;Confirmados PDIA 7 días;568;
13/09/2020;Cádiz;Total confirmados ;4894;
13/09/2020;Cádiz;Hospitalizados;773;
13/09/2020;Cádiz;Total UCI;98;
13/09/2020;Cádiz;Fallecidos;192;
13/09/2020;Cádiz;Curados;2040;
13/09/2020;Córdoba;Confirmados PDIA;4024;
13/09/2020;Córdoba;Confirmados PDIA 14 días;1019;
13/09/2020;Córdoba;Confirmados PDIA 7 días;426;
13/09/2020;Córdoba;Total confirmados ;4431;
13/09/2020;Córdoba;Hospitalizados;720;
13/09/2020;Córdoba;Total UCI;91;
13/09/2020;Córdoba;Fallecidos;125;
13/09/2020;Córdoba;Curados;1951;
13/09/2020;Granada;Confirmados PDIA;5491;
13/09/2020;Granada;Confirmados PDIA 14 días;1206;
13/09/2020;Granada;Confirmados PDIA 7 días;557;
13/09/2020;Granada;Total confirmados ;6298;
13/09/2020;Granada;Hospitalizados;1414;
13/09/2020;Granada;Total UCI;147;
13/09/2020;Granada;Fallecidos;304;
13/09/2020;Granada;Curados;3168;
13/09/2020;Huelva;Confirmados PDIA;939;
13/09/2020;Huelva;Confirmados PDIA 14 días;257;
13/09/2020;Huelva;Confirmados PDIA 7 días;144;
13/09/2020;Huelva;Total confirmados ;1066;
13/09/2020;Huelva;Hospitalizados;241;
13/09/2020;Huelva;Total UCI;34;
13/09/2020;Huelva;Fallecidos;53;
13/09/2020;Huelva;Curados;540;
13/09/2020;Jaén;Confirmados PDIA;3013;
13/09/2020;Jaén;Confirmados PDIA 14 días;748;
13/09/2020;Jaén;Confirmados PDIA 7 días;375;
13/09/2020;Jaén;Total confirmados ;3510;
13/09/2020;Jaén;Hospitalizados;866;
13/09/2020;Jaén;Total UCI;100;
13/09/2020;Jaén;Fallecidos;198;
13/09/2020;Jaén;Curados;2146;
13/09/2020;Málaga;Confirmados PDIA;10987;
13/09/2020;Málaga;Confirmados PDIA 14 días;2865;
13/09/2020;Málaga;Confirmados PDIA 7 días;1113;
13/09/2020;Málaga;Total confirmados ;12783;
13/09/2020;Málaga;Hospitalizados;2007;
13/09/2020;Málaga;Total UCI;192;
13/09/2020;Málaga;Fallecidos;320;
13/09/2020;Málaga;Curados;4649;
13/09/2020;Sevilla;Confirmados PDIA;6571;
13/09/2020;Sevilla;Confirmados PDIA 14 días;1895;
13/09/2020;Sevilla;Confirmados PDIA 7 días;867;
13/09/2020;Sevilla;Total confirmados ;7245;
13/09/2020;Sevilla;Hospitalizados;1509;
13/09/2020;Sevilla;Total UCI;174;
13/09/2020;Sevilla;Fallecidos;314;
13/09/2020;Sevilla;Curados;3259;
12/09/2020;Andalucía;Confirmados PDIA;41255;
12/09/2020;Andalucía;Confirmados PDIA 14 días;11117;
12/09/2020;Andalucía;Confirmados PDIA 7 días;4917;
12/09/2020;Andalucía;Total confirmados ;46169;
12/09/2020;Andalucía;Hospitalizados;8128;
12/09/2020;Andalucía;Total UCI;919;
12/09/2020;Andalucía;Fallecidos;1603;
12/09/2020;Andalucía;Curados;20379;
12/09/2020;Almería;Confirmados PDIA;6350;
12/09/2020;Almería;Confirmados PDIA 14 días;1805;
12/09/2020;Almería;Confirmados PDIA 7 días;790;
12/09/2020;Almería;Total confirmados ;6629;
12/09/2020;Almería;Hospitalizados;628;
12/09/2020;Almería;Total UCI;87;
12/09/2020;Almería;Fallecidos;97;
12/09/2020;Almería;Curados;2868;
12/09/2020;Cádiz;Confirmados PDIA;4491;
12/09/2020;Cádiz;Confirmados PDIA 14 días;1408;
12/09/2020;Cádiz;Confirmados PDIA 7 días;588;
12/09/2020;Cádiz;Total confirmados ;4820;
12/09/2020;Cádiz;Hospitalizados;771;
12/09/2020;Cádiz;Total UCI;98;
12/09/2020;Cádiz;Fallecidos;192;
12/09/2020;Cádiz;Curados;2036;
12/09/2020;Córdoba;Confirmados PDIA;3873;
12/09/2020;Córdoba;Confirmados PDIA 14 días;978;
12/09/2020;Córdoba;Confirmados PDIA 7 días;402;
12/09/2020;Córdoba;Total confirmados ;4279;
12/09/2020;Córdoba;Hospitalizados;716;
12/09/2020;Córdoba;Total UCI;91;
12/09/2020;Córdoba;Fallecidos;125;
12/09/2020;Córdoba;Curados;1929;
12/09/2020;Granada;Confirmados PDIA;5421;
12/09/2020;Granada;Confirmados PDIA 14 días;1188;
12/09/2020;Granada;Confirmados PDIA 7 días;555;
12/09/2020;Granada;Total confirmados ;6227;
12/09/2020;Granada;Hospitalizados;1407;
12/09/2020;Granada;Total UCI;144;
12/09/2020;Granada;Fallecidos;304;
12/09/2020;Granada;Curados;3102;
12/09/2020;Huelva;Confirmados PDIA;905;
12/09/2020;Huelva;Confirmados PDIA 14 días;243;
12/09/2020;Huelva;Confirmados PDIA 7 días;145;
12/09/2020;Huelva;Total confirmados ;1032;
12/09/2020;Huelva;Hospitalizados;240;
12/09/2020;Huelva;Total UCI;33;
12/09/2020;Huelva;Fallecidos;53;
12/09/2020;Huelva;Curados;537;
12/09/2020;Jaén;Confirmados PDIA;2924;
12/09/2020;Jaén;Confirmados PDIA 14 días;709;
12/09/2020;Jaén;Confirmados PDIA 7 días;333;
12/09/2020;Jaén;Total confirmados ;3421;
12/09/2020;Jaén;Hospitalizados;863;
12/09/2020;Jaén;Total UCI;100;
12/09/2020;Jaén;Fallecidos;198;
12/09/2020;Jaén;Curados;2147;
12/09/2020;Málaga;Confirmados PDIA;10871;
12/09/2020;Málaga;Confirmados PDIA 14 días;2944;
12/09/2020;Málaga;Confirmados PDIA 7 días;1204;
12/09/2020;Málaga;Total confirmados ;12667;
12/09/2020;Málaga;Hospitalizados;2002;
12/09/2020;Málaga;Total UCI;192;
12/09/2020;Málaga;Fallecidos;320;
12/09/2020;Málaga;Curados;4521;
12/09/2020;Sevilla;Confirmados PDIA;6420;
12/09/2020;Sevilla;Confirmados PDIA 14 días;1842;
12/09/2020;Sevilla;Confirmados PDIA 7 días;900;
12/09/2020;Sevilla;Total confirmados ;7094;
12/09/2020;Sevilla;Hospitalizados;1501;
12/09/2020;Sevilla;Total UCI;174;
12/09/2020;Sevilla;Fallecidos;314;
12/09/2020;Sevilla;Curados;3239;
11/09/2020;Andalucía;Confirmados PDIA;40124;
11/09/2020;Andalucía;Confirmados PDIA 14 días;11002;
11/09/2020;Andalucía;Confirmados PDIA 7 días;5032;
11/09/2020;Andalucía;Total confirmados ;45030;
11/09/2020;Andalucía;Hospitalizados;8049;
11/09/2020;Andalucía;Total UCI;918;
11/09/2020;Andalucía;Fallecidos;1589;
11/09/2020;Andalucía;Curados;20162;
11/09/2020;Almería;Confirmados PDIA;6189;
11/09/2020;Almería;Confirmados PDIA 14 días;1715;
11/09/2020;Almería;Confirmados PDIA 7 días;785;
11/09/2020;Almería;Total confirmados ;6467;
11/09/2020;Almería;Hospitalizados;626;
11/09/2020;Almería;Total UCI;87;
11/09/2020;Almería;Fallecidos;96;
11/09/2020;Almería;Curados;2839;
11/09/2020;Cádiz;Confirmados PDIA;4349;
11/09/2020;Cádiz;Confirmados PDIA 14 días;1407;
11/09/2020;Cádiz;Confirmados PDIA 7 días;636;
11/09/2020;Cádiz;Total confirmados ;4677;
11/09/2020;Cádiz;Hospitalizados;763;
11/09/2020;Cádiz;Total UCI;98;
11/09/2020;Cádiz;Fallecidos;192;
11/09/2020;Cádiz;Curados;1977;
11/09/2020;Córdoba;Confirmados PDIA;3765;
11/09/2020;Córdoba;Confirmados PDIA 14 días;967;
11/09/2020;Córdoba;Confirmados PDIA 7 días;412;
11/09/2020;Córdoba;Total confirmados ;4171;
11/09/2020;Córdoba;Hospitalizados;705;
11/09/2020;Córdoba;Total UCI;91;
11/09/2020;Córdoba;Fallecidos;124;
11/09/2020;Córdoba;Curados;1926;
11/09/2020;Granada;Confirmados PDIA;5343;
11/09/2020;Granada;Confirmados PDIA 14 días;1188;
11/09/2020;Granada;Confirmados PDIA 7 días;586;
11/09/2020;Granada;Total confirmados ;6149;
11/09/2020;Granada;Hospitalizados;1399;
11/09/2020;Granada;Total UCI;143;
11/09/2020;Granada;Fallecidos;303;
11/09/2020;Granada;Curados;3072;
11/09/2020;Huelva;Confirmados PDIA;877;
11/09/2020;Huelva;Confirmados PDIA 14 días;228;
11/09/2020;Huelva;Confirmados PDIA 7 días;138;
11/09/2020;Huelva;Total confirmados ;1004;
11/09/2020;Huelva;Hospitalizados;238;
11/09/2020;Huelva;Total UCI;33;
11/09/2020;Huelva;Fallecidos;52;
11/09/2020;Huelva;Curados;532;
11/09/2020;Jaén;Confirmados PDIA;2887;
11/09/2020;Jaén;Confirmados PDIA 14 días;737;
11/09/2020;Jaén;Confirmados PDIA 7 días;358;
11/09/2020;Jaén;Total confirmados ;3384;
11/09/2020;Jaén;Hospitalizados;859;
11/09/2020;Jaén;Total UCI;100;
11/09/2020;Jaén;Fallecidos;197;
11/09/2020;Jaén;Curados;2133;
11/09/2020;Málaga;Confirmados PDIA;10503;
11/09/2020;Málaga;Confirmados PDIA 14 días;2987;
11/09/2020;Málaga;Confirmados PDIA 7 días;1244;
11/09/2020;Málaga;Total confirmados ;12293;
11/09/2020;Málaga;Hospitalizados;1976;
11/09/2020;Málaga;Total UCI;192;
11/09/2020;Málaga;Fallecidos;316;
11/09/2020;Málaga;Curados;4449;
11/09/2020;Sevilla;Confirmados PDIA;6211;
11/09/2020;Sevilla;Confirmados PDIA 14 días;1773;
11/09/2020;Sevilla;Confirmados PDIA 7 días;873;
11/09/2020;Sevilla;Total confirmados ;6885;
11/09/2020;Sevilla;Hospitalizados;1483;
11/09/2020;Sevilla;Total UCI;174;
11/09/2020;Sevilla;Fallecidos;309;
11/09/2020;Sevilla;Curados;3234;
10/09/2020;Andalucía;Confirmados PDIA;38882;
10/09/2020;Andalucía;Confirmados PDIA 14 días;10837;
10/09/2020;Andalucía;Confirmados PDIA 7 días;4699;
10/09/2020;Andalucía;Total confirmados ;43783;
10/09/2020;Andalucía;Hospitalizados;7972;
10/09/2020;Andalucía;Total UCI;913;
10/09/2020;Andalucía;Fallecidos;1582;
10/09/2020;Andalucía;Curados;20095;
10/09/2020;Almería;Confirmados PDIA;6092;
10/09/2020;Almería;Confirmados PDIA 14 días;1823;
10/09/2020;Almería;Confirmados PDIA 7 días;818;
10/09/2020;Almería;Total confirmados ;6370;
10/09/2020;Almería;Hospitalizados;617;
10/09/2020;Almería;Total UCI;86;
10/09/2020;Almería;Fallecidos;95;
10/09/2020;Almería;Curados;2826;
10/09/2020;Cádiz;Confirmados PDIA;4213;
10/09/2020;Cádiz;Confirmados PDIA 14 días;1402;
10/09/2020;Cádiz;Confirmados PDIA 7 días;631;
10/09/2020;Cádiz;Total confirmados ;4541;
10/09/2020;Cádiz;Hospitalizados;762;
10/09/2020;Cádiz;Total UCI;98;
10/09/2020;Cádiz;Fallecidos;192;
10/09/2020;Cádiz;Curados;1973;
10/09/2020;Córdoba;Confirmados PDIA;3694;
10/09/2020;Córdoba;Confirmados PDIA 14 días;965;
10/09/2020;Córdoba;Confirmados PDIA 7 días;402;
